|HIP 32349 |06 45 09.2499|-16 42 47.315|-1.44|
|HIP 30438 |06 23 57.0906|-52 41 44.585|-0.62|
|HIP 69673 |14 15 40.3474|+19 11 14.172|-0.05|
|HIP 71683 |14 39 40.8985|-60 50 06.529|-0.01|
|HIP 91262 |18 36 56.1860|+38 46 58.775| 0.03|
|HIP 24608 |05 16 41.2956|+45 59 56.505| 0.08|
|HIP 24436 |05 14 32.2712|-08 12 05.901| 0.18|
|HIP 37279 |07 39 18.5381|+05 13 39.028| 0.40|
|HIP 7588  |01 37 42.7517|-57 14 11.976| 0.45|
|HIP 27989 |05 55 10.2892|+07 24 25.331| 0.45|
|HIP 68702 |14 03 49.4446|-60 22 22.722| 0.61|
|HIP 97649 |19 50 46.6821|+08 52 02.586| 0.76|
|HIP 60718 |12 26 35.9414|-63 05 56.601| 0.77|
|HIP 21421 |04 35 55.2005|+16 30 35.142| 0.87|
|HIP 65474 |13 25 11.6046|-11 09 40.482| 0.98|
|HIP 80763 |16 29 24.4675|-26 25 55.006| 1.06|
|HIP 37826 |07 45 19.3638|+28 01 34.717| 1.16|
|HIP 113368|22 57 38.8256|-29 37 18.613| 1.17|
|HIP 62434 |12 47 43.3189|-59 41 19.437| 1.25|
|HIP 102098|20 41 25.9134|+45 16 49.203| 1.25|
|HIP 71681 |14 39 39.3908|-60 50 22.097| 1.35|
|HIP 49669 |10 08 22.4594|+11 58 01.902| 1.36|
|HIP 33579 |06 58 37.5467|-28 58 19.522| 1.50|
|HIP 36850 |07 34 36.0046|+31 53 19.091| 1.58|
|HIP 61084 |12 31 09.9293|-57 06 45.249| 1.59|
|HIP 85927 |17 33 36.5265|-37 06 13.494| 1.62|
|HIP 25336 |05 25 07.8682|+06 20 59.044| 1.64|
|HIP 25428 |05 26 17.4979|+28 36 28.344| 1.65|
|HIP 45238 |09 13 12.2408|-69 43 02.901| 1.67|
|HIP 26311 |05 36 12.8126|-01 12 06.902| 1.69|
|HIP 109268|22 08 13.8764|-46 57 38.217| 1.73|
|HIP 26727 |05 40 45.5248|-01 56 33.282| 1.74|
|HIP 39953 |08 09 31.9553|-47 20 11.802| 1.75|
|HIP 62956 |12 54 01.6330|+55 57 35.435| 1.76|
|HIP 15863 |03 24 19.3485|+49 51 40.474| 1.79|
|HIP 90185 |18 24 10.3463|-34 23 03.533| 1.79|
|HIP 54061 |11 03 43.8369|+61 45 04.028| 1.81|
|HIP 34444 |07 08 23.4860|-26 23 35.548| 1.83|
|HIP 67301 |13 47 32.5461|+49 18 47.890| 1.85|
|HIP 86228 |17 37 19.1258|-42 59 52.158| 1.86|
|HIP 41037 |08 22 30.8647|-59 30 34.338| 1.86|
|HIP 28360 |05 59 31.7694|+44 56 50.766| 1.90|
|HIP 82273 |16 48 39.8658|-69 01 39.486| 1.91|
